serial_number,name_of_facility,type_of_facility_select_one_of_phc_secondary_tertiary_pfp_fbo,presumptive_classification_presumptive_ds_tb,presumptive_classification_presumptive_dr_tb,presumptive_examined_for_diagnosis,presumptive_examinations_xpert,presumptive_examinations_afb,presumptive_examinations_tb_lamp_lf_lam_and_others,presumptive_examinations_screened_with_x_ray,presumptive_bacteriologically_positive_xpert_positive,presumptive_bacteriologically_positive_smear_positive,presumptive_bacteriologically_positive_tb_lamp_lf_lam_positive,presumptive_chest_x_ray_suggestive,presumptive_total_diagnosed,presumptive_rifampicin_resistant_cases,presumptive_previously_known_hiv_status_positive,presumptive_previously_known_hiv_status_negative,presumptive_hiv_status_positive,presumptive_hiv_status_negative,presumptive_hiv_status_unknown,presumptive_no_of_presumptive_that_are_hc_ws,presumptive_referred_from_the_community,presumptive_referred_from_ppm,confirmed_pulmonary_tb_cases_new,confirmed_pulmonary_tb_cases_relapse,confirmed_pulmonary_tb_cases_tx_history_unknown,confirmed_pulmonary_tb_cases_all_other_retreatment_tb_cases,confirmed_eptb_cases_new,confirmed_eptb_cases_relapse,confirmed_eptb_cases_tx_history_unknown,confirmed_eptb_cases_all_other_retreatment_tb_cases,total_tb_cases,previously_known_hiv_status_positive,previously_known_hiv_status_negative,previously_unknown_hiv_status_tested_for_hiv_positive,previously_unknown_hiv_status_tested_for_hiv_negative,previously_unknown_hiv_status_not_tested,bacteriologically_diagnosed_xpert_positive,bacteriologically_diagnosed_smear_positive,bacteriologically_diagnosed_tb_lamp_positive,bacteriologically_diagnosed_lf_lam_positive,clinically_diagnosed_x_ray_other_clinical_diagnosis,no_of_health_care_workers_diagnosed_with_tb,community_activity_referred_from_the_community,community_activity_managed_by_treatment_supporter,quarter,lga,year,presumptive_bacteriologically_positive_truenat_positive,presumptive_examinations_truenat,bacteriologically_diagnosed_truenat_positive,presumptive_no_of_presumptive_that_are_positive_for_covid_19,presumptive_no_of_presumptive_that_are_tested_for_covid_19,presumptive_other_clinical_diagnosis,no_of_tb_patients_with_covid_19_infection,facility,zones,states,lgas,lat,lon
35,HC FADAMAR KALE,PHC,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hcfadamarkale,NWZ,Kaduna,Igabi,11.3085428,8.1156733
36,HC FADAMAR KALE,PHC,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hcfadamarkale,NWZ,Kaduna,Igabi,11.3085428,8.1156733
37,HC FADAMAR KALE,PHC,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hcfadamarkale,NWZ,Kaduna,Igabi,11.3085428,8.1156733
38,HC FADAMAR KALE,PHC,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hcfadamarkale,NWZ,Kaduna,Igabi,11.3085428,8.1156733
39,HC GANGARIDA,PHC,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
1,HC GANGARIDA,PHC,29,0,29,6,23,0,0,0,1,0,0,1,0,0,0,0,2,27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,Ikara,2021,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
2,HC GANGARIDA,PHC,13,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
3,HC GANGARIDA,PHC,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
4,HC GANGARIDA,PHC,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
5,HC GANGARIDA,PHC,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
6,HC GANGARIDA,PHC,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
7,HC GANGARIDA,PHC,15,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
8,HC GANGARIDA,PHC,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
9,HC GANGARIDA,PHC,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hcgangarida,NWZ,Kaduna,Ikara,11.3904119,8.0820765
10,HC GIMBAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
11,HC GIMBAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2021,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
12,HC GIMBAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
13,HC GIMBAWA,PHC,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
14,HC GIMBAWA,PHC,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
15,HC GIMBAWA,PHC,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
16,HC GIMBAWA,PHC,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
17,HC GIMBAWA,PHC,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
18,HC GIMBAWA,PHC,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
19,HC GIMBAWA,PHC,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hcgimbawa,NWZ,Kaduna,Jemaa,11.1791171,8.3085294
20,HC JIBIS,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
21,HC JIBIS,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2021,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
22,HC JIBIS,PHC,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
23,HC JIBIS,PHC,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
24,HC JIBIS,PHC,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
25,HC JIBIS,PHC,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
26,HC JIBIS,PHC,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
27,HC JIBIS,PHC,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
28,HC JIBIS,PHC,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
29,HC JIBIS,PHC,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hcjibis,NWZ,Kaduna,Ikara,11.1589565,8.2505264
30,HC KAZA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hckaza,NWZ,Kaduna,Ikara,11.4537163,8.110055
31,HC KAZA,PHC,4,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,Ikara,2022,0,0,0,0,0,0,0,Hckaza,NWZ,Kaduna,Ikara,11.4537163,8.110055
32,HC KAZA,PHC,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hckaza,NWZ,Kaduna,Ikara,11.4537163,8.110055
33,HC KAZA,PHC,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hckaza,NWZ,Kaduna,Ikara,11.4537163,8.110055
34,HC KAZA,PHC,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hckaza,NWZ,Kaduna,Ikara,11.4537163,8.110055
35,HC KAZA,PHC,10,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hckaza,NWZ,Kaduna,Ikara,11.4537163,8.110055
36,HC KUNKUMI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
37,HC KUNKUMI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2021,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
38,HC KUNKUMI,PHC,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
39,HC KUNKUMI,PHC,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
40,HC KUNKUMI,PHC,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
41,HC KUNKUMI,PHC,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
42,HC KUNKUMI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
43,HC KUNKUMI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
44,HC KUNKUMI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
45,HC KUNKUMI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hckunkumi,NWZ,Kaduna,Kaduna north,11.3634986,8.0276219
1,HC KURMIN JAV,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
2,HC KURMIN JAV,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2021,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
3,HC KURMIN JAV,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
4,HC KURMIN JAV,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
5,HC KURMIN JAV,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
6,HC KURMIN JAV,PHC,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
7,HC KURMIN JAV,PHC,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
8,HC KURMIN JAV,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
9,HC KURMIN JAV,PHC,2,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,Ikara,2023,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
10,HC KURMIN JAV,PHC,15,0,15,12,0,0,3,0,0,0,1,1,0,0,0,0,0,15,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,2,Ikara,2023,0,0,0,0,0,0,0,Hckurminjav,,,,11.19016,8.39214
11,HC KWAKWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hckwakwa,NWZ,Kaduna,Kauru,11.4136228,8.0366668
12,HC KWAKWA,PHC,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hckwakwa,NWZ,Kaduna,Kauru,11.4136228,8.0366668
13,HC KWAKWA,PHC,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hckwakwa,NWZ,Kaduna,Kauru,11.4136228,8.0366668
14,HC KWAKWA,PHC,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hckwakwa,NWZ,Kaduna,Kauru,11.4136228,8.0366668
15,HC KWAKWA,PHC,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hckwakwa,NWZ,Kaduna,Kauru,11.4136228,8.0366668
16,HC KWAKWA,PHC,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2023,0,0,0,0,0,0,0,Hckwakwa,NWZ,Kaduna,Kauru,11.4136228,8.0366668
17,HC KWARI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
18,HC KWARI,PHC,17,0,17,4,13,0,0,1,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,Ikara,2021,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
19,HC KWARI,PHC,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
20,HC KWARI,PHC,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
21,HC KWARI,PHC,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,9,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
22,HC KWARI,PHC,9,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2022,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
23,HC KWARI,PHC,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2022,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
24,HC KWARI,PHC,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2022,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
25,HC KWARI,PHC,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2023,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
26,HC KWARI,PHC,17,0,17,2,15,0,0,0,0,0,2,2,0,0,0,0,0,17,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,2,2,Ikara,2023,0,0,0,0,0,0,0,Hckwari,NWZ,Kaduna,Igabi,11.3644053,8.1288493
27,HC NASARAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2021,0,0,0,0,0,0,0,Hcnasarawa,NWZ,Kaduna,Ikara,11.1828531,8.1797395
28,HC NASARAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Ikara,2021,0,0,0,0,0,0,0,Hcnasarawa,NWZ,Kaduna,Ikara,11.1828531,8.1797395
29,HC NASARAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ikara,2021,0,0,0,0,0,0,0,Hcnasarawa,NWZ,Kaduna,Ikara,11.1828531,8.1797395
30,HC NASARAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ikara,2021,0,0,0,0,0,0,0,Hcnasarawa,NWZ,Kaduna,Ikara,11.1828531,8.1797395
31,HC NASARAWA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ikara,2022,0,0,0,0,0,0,0,Hcnasarawa,NWZ,Kaduna,Ikara,11.1828531,8.1797395
